fabricante,modelo,codigos,descripciones
SING,STC662,"[""10742"", ""10770""]","[""Radiador infrarrojo de señal digital"", ""Receptor de señal infrarrojo""]"
SM,SM,"[""13183"", ""XXX173""]","[""Extender HDMI por RJ 45 hasta 60 mts"", ""EXTENSOR VGA POR RJ45 CAT.5 HASTA 300M.""]"
SONY,AWG-S500,"[""10091"", ""11122""]","[""Estación de Television movil Anycast Analoga"", ""Estacion de Televisión Full HD Anycast""]"
SONY,ECM-530,"[""11486"", ""11640""]","[""Microfono de Podio 15\""\"" para S.A."", ""Micrófono de podium Sony""]"
SONY,KDL-60W605B,"[""12931"", ""MONTV60S""]","[""Pantalla led 60\""\"", Full HD"", ""Pantalla led 60\""\"", Full HD""]"
SONY,MCS-8M,"[""11515"", ""PE PRV13""]","[""Switcher Profesional Sony"", ""Switcher Profesional Sony""]"
SONY,SBS-64G1A,"[""11518"", ""PE ACC42""]","[""Memoria SXS 64Gb"", ""Memoria SXS 64Gb""]"
SONY,URX-R1,"[""10243"", ""11100""]","[""Receptor de micrófono inalámbrico S"", ""Receptor de micrófono inalámbrico para S.A.""]"
SOUNDKING,AM401,"[""11585"", ""CO CAD02""]","[""Caja Directa Activa"", ""Caja Directa Activa""]"
STEREN,BAF-006,"[""40434"", ""CO CAD05""]","[""Cajas Directa Activa"", ""Caja Directa Activa""]"
SYMBOL,STB4278,"[""12768"", ""PE ACC48""]","[""Base Lector Codigo Barra"", ""Lector Inalambrico Codigo Barra USB""]"
TAIDEN,CBL6PS-05,"[""12755"", ""12755.1"", ""7678""]","[""Cable Extension 5Mts, 6 pines"", ""Cable Extension Sistema Taiden 5Mts, 6 pines"", ""Cable extension para microfonos de debate 5 mts""]"
TAIDEN,CBL6PS-10,"[""12756.1"", ""6595""]","[""Cable Extension Sistema Taiden 10Mts, 6 pines"", ""Cable extension para microfonos de debate 10 mts""]"
TAIDEN,CBL6PS-20,"[""12757"", ""12757.1""]","[""Cable Extension 20Mts, 6 pines"", ""Cable Extension Sistema Taiden 20Mts, 6 pines""]"
TAIDEN,HCS,"[""PE MIC20"", ""XXX330"", ""XXX331"", ""XXX332""]","[""Micrófono de debate (Presidente)"", ""Unidad de Control de Debate"", ""Unidad de expansión de debate"", ""Unidad de control de debate con toma de palabra""]"
TAIDEN,HCS-4100MB/50,"[""12540"", ""PE AUD02""]","[""Unidad Control y Procesador Digital Sistema Debate HCS-4100MB/50"", ""Unidad Control y Procesador Digital Sistema Debate HCS-4100MB/50""]"
TAIDEN,HCS-4338DS/50,"[""12560"", ""60602"", ""PE MIC15""]","[""Microfono de Debate Delegado"", ""Microfono de debate"", ""Microfono de Debate Delegado""]"
TAIDEN,HCS-5100RA/08,"[""10922"", ""PE AUD36""]","[""Receptor de señal infrarrojo"", ""Receptor de señal infrarrojo para Audifonos""]"
TAIDEN,HCS-5302D_G/80,"[""PE MIC21"", ""XXX317""]","[""Micrófono de debate (delegado)"", ""Microfono de Debate""]"
TAIDEN,HCS-826/04_YS,"[""12203"", ""12347"", ""SK222310472""]","[""Receptor de Señal Infrarroja Analoga"", ""Receptor de Señal Infrarroja Analoga"", ""Receptor de Señal Infrarroja Analoga""]"
TAIDEN,HCS-8300ME,"[""12541"", ""PE AUD15""]","[""Distribuidor para Unidad Control Sistema Debate HCS-4100MB/50"", ""Distribuidor para Unidad Control Sistema Debate HCS-4100MB/50""]"
TAIDEN,HCS-850PB/10,"[""10923"", ""11281"", ""11784"", ""12201"", ""PE SOP28""]","[""Pupitre de intérprete analogo doble"", ""Unidad de intéprete para 12 canales"", ""Consola para 2 interpretes, hasta 12 idiomas"", ""Pupitre de intérprete Analogo doble"", ""Pupitre de intérprete analogo doble""]"
THONET & VANDER,GERMANY SPIEL,"[""40450"", ""CO ALT21""]","[""Parlantes"", ""Sistema de audio 2.1""]"
TRIPP-LITE,B130-101A,"[""6023"", ""CO EXT01"", ""ERJVGAT1""]","[""Extensor Receptor RJ45 / VGA"", ""Extensor Conversor Receptor RJ45 a VGA"", ""Extensor Transmisor RJ45 / VGA""]"
TURBOSOUND,IP1000,"[""PE BOC08"", ""PE BOC16""]","[""Parlante IP1000 Turbosound"", ""Parlante Pasivo 300 Watts""]"
UGREEN,CM586,"[""CL VID 02"", ""PE CAM11""]","[""Transmisor Inalambrico 4K/30HZ / VGA 1080P Hasta 50M"", ""Transmisor Inalambrico HDMI""]"
VDWALL,605S,"[""12566"", ""PE PRV10""]","[""Escalador Switcher de Video 605"", ""Escalador Switcher de Video 605""]"
VIVITEK,DW886,"[""20000"", ""CO PRY36""]","[""Proyector 3.800 Alms WXGA"", ""Proyector 3.800 lm""]"
VIVITEK,DX813,"[""12827"", ""PE PRY14""]","[""Proyector 3.600 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 3600 Ansi Lumenes 4:3""]"
VOLX,VX10BK,"[""12110"", ""12111""]","[""Tablet de 10\""\"""", ""Tablet 10\""\""""]"
VUTEC,ECONOPRO,"[""11363"", ""XXX126"", ""XXX143""]","[""Ecran 1.52 x 2.03 mts eléctrico"", ""Ecran Trípode 1.80 x 1.80 mts."", ""Ecran Trípode de 2.40x240 mts""]"
VUTEC,LECTRIC,"[""11360"", ""11361""]","[""Ecran 2,656 x 1,494 mts eléctrico"", ""Ecran 3.65 x 2.01 mts eléctrico""]"
VUTEC,MECANO,"[""PE ECR02"", ""PE ECR03"", ""XXX176"", ""XXX311""]","[""Ecran Mecano 2.40 x 1.80 mts"", ""Ecran Mecano 3 x 4 mts"", ""Ecran Mecano 3 x 4 mts"", ""Ecran de proyección frontal de 1.80 x 2.40 mts.""]"
VUTEC,PORTA FOLD,"[""11965"", ""11966"", ""11967""]","[""Ecran de proyecccion retro de 180x240"", ""Ecran de proyeccion retro de 3.00 X 2.00 mts"", ""Ecran de proyeccion retro de 3.00X4.00 mts""]"
WHIRLWIND DIRECTOR,IMP2,"[""10712"", ""CO CAD04"", ""PE AUD27""]","[""Caja Directa"", ""Caja Directa Pasiva"", ""Caja Directa Whirlwind""]"
WILD PRO,WP-C48,"[""12602"", ""SK155027236""]","[""CONSOLA DIMMER 24/48CH DMX 512"", ""Consola de Iluminacion DMX Stage 48""]"
XTECH,XTK-300S,"[""10356"", ""10358""]","[""Teclado Alambrico Computador Escritorio"", ""Mouse Alambrico""]"
YAMAHA,MG16XU,"[""50093"", ""PE AUD40""]","[""Consola de Audio Analoga 16x4x4"", ""Consola16 Canales Yamaha""]"
YAMAHA,TF3,"[""13089"", ""PA COA06""]","[""Consola de Audio Digital 24 Ch"", ""Consola de audio digital 24 canales""]"
YAMAHA,TF5,"[""10305"", ""51010"", ""CO COA02""]","[""Consola de Audio Digital 48X20X16"", ""Consola Digital 32 Canales"", ""Consola de audio digital 32Ch I TF5""]"
YAMAHA,TIO1608-D,"[""10043"", ""CO AUD20""]","[""Interfaz Dante Rack 16 X 4"", ""Interfaz Dante para microfoneria 16 entradas""]"
ZEBRA TECHNOLOGIES,ZT410,"[""12769"", ""PE IMP03""]","[""Impresora Codigo de Barra"", ""Impresora Codigo de Barra Zebra""]"
