fabricante,modelo,codigos,descripciones
JBL,C-28,"[""10075"", ""PE BOC18""]","[""Parlante Pasivo 175 Watts"", ""Parlante Pasivo 175 Watts""]"
JBL,C-328,"[""10979"", ""PE BOC20""]","[""Parlante techo full range de dos vías y 250 Watts"", ""Parlante de techo full range de dos vías y 250 Watts""]"
JBL,CONTROL 28WH,"[""11570"", ""PE BOC13""]","[""Parlante 100Watts"", ""Parlante 100Watts""]"
KRAMER,ADC-DPM/HF,"[""13235"", ""90092""]","[""Cable Adaptador Display Port (M) a HDMI (H)"", ""Cable Adaptador Display Port (M) a HDMI (H)""]"
KRAMER,ADC-U31C/HF,"[""18095"", ""CO CVT07""]","[""Cable Adaptador USB 3.1 Tipo C a HDMI"", ""Convertidor USB C - HDMI | Kramer""]"
KRAMER,BC-HDKAT6A,"[""CABFTP20"", ""CABFTP40"", ""CABFTP50""]","[""Cable FTP HDBaseT 20 Mts (Morado)"", ""Cable FTP HDBaseT 40 Mts (Morado)"", ""Cable FTP HDBaseT 50 Mts (Morado)""]"
KRAMER,C-GM/GM-50,"[""10630"", ""12011""]","[""Cable VGA 15 mts."", ""Cable VGA 15 mts""]"
KRAMER,C-HM/HM-3,"[""13181"", ""30044""]","[""Cable Estándar HDMI (M) a HDMI (M) 0.9mts"", ""Cable Estándar HDMI (M) a HDMI (M) 0.9mts""]"
KRAMER,C-HM/HM-35,"[""4099"", ""CO CAB104""]","[""Cable HDMI 35 Metros"", ""Cable HDMI 10 mts | Kramer""]"
KRAMER,C-HM/HM-6,"[""12836"", ""5034""]","[""Cable HDMI 1.8 Mts"", ""Cable HDMI 5 metros""]"
KRAMER,C-HM/HM/PRO-10,"[""13050"", ""13094""]","[""Cable HDMI 3 mts"", ""Cable HDMI 3 mts""]"
KRAMER,C-U32/FF-3,"[""15965"", ""CO CAB79""]","[""Cable USB-C 1mts"", ""Cable USB C 1mts""]"
KRAMER,C–HM/HM–10,"[""13047"", ""CO CAB116""]","[""Cable HDMI 3 Mts"", ""Cable HDMI 3 mts | Kramer""]"
KRAMER,FC-46XL,"[""30355"", ""CO AUD06""]","[""De–Embebedor Audio HDMI"", ""De–Embebedor Audio HDMI""]"
KRAMER,PT-110,"[""11688"", ""12219""]","[""XGA Trasmisor de data via cat 5"", ""CONVERSOR KRAMER RJ-45 OUT / VGA IN""]"
KRAMER,PT-571,"[""12217"", ""CO EXT02""]","[""Conversor Extensor Tx RJ-45-HMDI In Digikat"", ""Extensor Conversor Tx RJ-45-HMDI In Digikat""]"
KRAMER,PT-572+,"[""12218"", ""CO EXT03""]","[""Conversor Extensor Rx RJ45-HDMI Out Digikat"", ""Extensor Conversor Rx RJ45-HDMI Out Digikat""]"
KRAMER,PT-871/2XR-KIT,"[""CO EXT08"", ""KITEXT4K""]","[""Extensor conversor 4K HDR HDMI | Kit de 2"", ""Extensor Compacto de HDMI 4K HDR HDMI PoC sobre DGKat 2.0 de largo alcance""]"
KRAMER,RC-78R,"[""10038"", ""40511"", ""CO AUT03""]","[""Switch Automatico 2X1 HDMI Modo Espera"", ""Control de Automatizacion Relay Cue"", ""Botonera de 8 teclas para automatización""]"
KRAMER,TP-551N,"[""11327"", ""11328""]","[""Transmisor HDMI"", ""Transmisor HDMI""]"
KRAMER,TP-580R,"[""12807"", ""CO REC02""]","[""Receptor HDMI 4K sobre Parn Trenzado HDBaseT"", ""Receptor HDMI 4K HDBaseT""]"
KRAMER,TP-580T,"[""CO TRA02"", ""THDBTKRA""]","[""Transmisor HDMI 4K sobre Par Trenzado HDBaseT"", ""Transmisor HDMI 4K sobre Par Trenzado HDBaseT""]"
KRAMER,VM-4H2,"[""13131"", ""CO DIS13""]","[""Distribuidor / amplificador HDMI 1x4 4K"", ""Distribuidor HDMI 1:4""]"
KRAMER,VM-4UHD,"[""30081"", ""CO DIS03""]","[""Distribuidor / amplificador HDMI 1x4 4K"", ""Distribuidor HDMI 1x4 4K""]"
KRAMER,VP-425,"[""40508"", ""CO ESC05""]","[""Escalador Pc Hdmi"", ""Escalador Pc HDMI""]"
KRAMER,VP-728,"[""10945"", ""CO ESC01"", ""PE PRV09""]","[""Escalador switch de 5 x 2 IN/OUT 1 salida HDMI"", ""Escalador de video 5x2x1 | HDMI"", ""Escalador switch de 5 x 2 IN/OUT 1 salida HDMI""]"
KRAMER,VP-729,"[""11253"", ""147787513""]","[""Escalador switch 9 Inputs"", ""Escalador switch""]"
KRAMER,VP-734,"[""PE PRV03"", ""XXX245""]","[""Escalador"", ""ESCALADOR""]"
KRAMMER,VP- 242,"[""10173"", ""XXX307""]","[""Switcher distribuidor de señal VGA 2 x 4 con transformador"", ""Switcher distribuidor de señal VGA 2 x 4 con transformador""]"
KRAMMER,VP-727,"[""10777"", ""10778""]","[""Escalador switch"", ""Controlador switch VP-727""]"
LG,19EN435-B,"[""12477"", ""PE MON23""]","[""Monitor 18.5\""\"" LG"", ""Monitor 18.5\""\"" Lg""]"
LG,43LH5100,"[""TELLG043"", ""TELLGP43""]","[""Monitor TV LED 43\""\"""", ""Monitor TV LED 43\""\"" para Podio LED""]"
LG,55SM5B,"[""10004"", ""CO PAN06""]","[""Monitor LED 55\""\"" Full HD"", ""Pantalla 55\""\""""]"
LG,DV647,"[""11232"", ""CO DVD01""]","[""Reproductor DVD"", ""Reproductor DVD""]"
LINKSYS,SE3008,"[""12598"", ""CO ETH01""]","[""Switch 8 Puertos GIGABIT10/100/1000"", ""Switch de red 8 Puertos""]"
LOGITECH,C270 HD,"[""12303"", ""PA CAM02""]","[""Camara Web"", ""Cámara web Logitech C270 HD""]"
LOGITECH,R400,"[""CL ACC 05"", ""XXX006"", ""XXX007"", ""XXX044"", ""XXX045""]","[""Presentador inalambrico PPT Remote Control 15M"", ""Passlide R400"", ""Passlider r400"", ""Passlide"", ""Passlide 2 *""]"
LOGITECH,R800,"[""CL ACC 04"", ""PE ACC06"", ""XXX117"", ""XXX133"", ""XXX134"", ""XXX136""]","[""Presentador inalambrico PPT Remote Control 30M"", ""RS400/800"", ""Passlide"", ""Passlide R800"", ""passlide  R800"", ""Passlide r800""]"
LOGITECH,Z313,"[""40002"", ""CO ALT23""]","[""Sistema de Audio 2.1"", ""Sistema de Audio 2.1""]"
MAGNIMAGE,LED-780H,"[""13066"", ""CO ESC02""]","[""Escalador de Video LED 4K"", ""Escalador de Video LED 780""]"
MICRONIX,S1145,"[""12729"", ""CO ALT25""]","[""Sistema de Audio 2.1"", ""Sistema de Audio 2.1""]"
MICROSOFT,LIFECAM STUDIO,"[""11233"", ""13097""]","[""Camara Web"", ""Camara Computador""]"
MIDAS,DL 32,"[""40591"", ""CO AUD15""]","[""Multipar Digital 32x16 Midas"", ""Snake digital DL 32""]"
MIDAS,M32,"[""40590"", ""CO COA01""]","[""Consola de Audio Digital 32Ch 16B"", ""Consola digital de audio 32Ch I M32""]"
MIPRO,ACT-707S,"[""10740"", ""12588""]","[""Receptor de micrófono inalámbrico M"", ""Receptor de micrófono inalámbrico M""]"
MIPRO,ACT707,"[""10240"", ""12589""]","[""Microfono inalambrico volante M"", ""Microfono inalambrico Headset""]"
NEC,E585,"[""12796"", ""12797""]","[""Monitor 58 Pulgadas"", ""(D.S.) Monitor de 58 pulgadas""]"
NEC,M-260X,"[""11074"", ""XXX2013""]","[""Proyector 2.600 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 2.600 Ansilumenes / Formato 4:3 / XGA LCD""]"
NEC,M-282X,"[""12355"", ""12366""]","[""Proyector 2.800 Ansilumenes /Formato 4:3 / XGA LCD"", ""Proyector 2.800 Ansilumenes /Formato 4:3 / XGA LCD""]"
NEC,M-300X,"[""PE PRY17"", ""PE PRY19""]","[""Proyector 3000 ansi XGA"", ""Proyector 3500 Ansi Llumenes 4:3""]"
NEC,M-311X,"[""12089"", ""13253""]","[""Proyector 3.100 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 3.100 Ansilumenes / Formato 4:3 / XGA LCD""]"
NEC,M-322X,"[""12298"", ""W46E67455546""]","[""Proyector 3.200 Ansilumenes / Formato 4:3 / XGA DLP"", ""Proyector 3200 Ansi Lumenes 4:3""]"
NEC,NP-410,"[""10949"", ""PE PRY09""]","[""Proyector 2.600 Ansilumenes / Formato 4:3 / XGA LCD"", ""Proyector 2600 Ansi Lumenes 4:3""]"
NEC,NP-M402X,"[""12299"", ""12367""]","[""Proyector 4.000 Ansilumenes / Formato 4:3 / XGA DLP"", ""Proyector 4.000 Ansilumenes / Formato 4:3 / XGA DLP""]"
